STORE,STORE_TYPE,Open Date,Sales,Location
274,S,29-Jun-98,123909.3683,"33.915697,-118.238611"
275,S,19980629,146659.6948,"34.083773,-117.90717"
276,S,29-Jun-98,106619.7944,"34.105871,-117.89143"
277,S,19980629,110667.4344,"33.969875,-118.187364"
278,S,29-Jun-98,183851.4395,"33.995635,-118.436817"
279,S,29-Jun-98,104344.2542,"34.019542,-117.810741"
280,S,29-Jun-98,164873.2595,"33.91794,-118.15659"
281,S,6/29/1998,93548.11067,"34.13506,-118.215761"
282,S,29-Jun-98,178683.5195,"34.016653,-118.158937"
283,S,6/29/1998,144007.949,"34.256628,-118.500878"
284,S,29-Jun-98,155629.6064,"33.906552,-118.353124"
285,S,29-Jun-98,103156.3093,"33.927111,-118.351953"
286,S,19980629,102597.4683,"34.116007,-118.183508"
287,S,19980629,104044.7759,"34.164197,-118.369965"
288,S,19980629,128321.7352,"33.968266,-118.355711"
289,S,29-Jun-98,231279.4596,"33.94383,-118.352031"
290,S,6/29/1998,104107.9702,"34.11647,-117.77644"
291,S,19980629,128632.0883,"34.275071,-118.396892"
292,S,19980629,119735.8833,"33.847941,-118.117058"
293,S,29-Jun-98,181181.569,"34.687693,-118.113205"
294,S,29-Jun-98,151021.9775,"34.660593,-118.203379"
295,S,6/29/1998,153297.6989,"34.704336,-118.147829"
296,S,29-Jun-98,135363.4339,"33.782387,-118.19454"
297,S,29-Jun-98,178381.8662,"33.801271,-118.189793"
298,S,6/29/1998,174024.2356,"34.049398,-118.212695"
299,S,6/29/1998,182807.5849,"34.048518,-118.342567"
300,S,19980629,159361.8789,"34.025532,-118.253573"
301,S,6/29/1998,180646.592,"34.03281,-118.35104"
302,S,19980629,197932.8431,"34.004092,-118.274461"
303,S,29-Jun-98,157394.5169,"34.114589,-118.245064"
304,S,6/29/1998,156208.9282,"33.975153,-118.248475"
305,S,19980629,151635.6151,"34.07403,-118.209946"
306,S,19980629,110909.2162,"33.945104,-118.254538"
307,S,19980629,118545.8842,"34.053475,-118.375299"
308,S,6/29/1998,182689.1106,"33.945135,-118.286618"
309,S,6/29/1998,125041.1271,"33.929515,-118.325895"
310,S,29-Jun-98,221493.6401,"34.04034,-118.284987"
311,S,6/29/1998,151008.6257,"34.047824,-118.291343"
312,S,29-Jun-98,176253.558,"34.040932,-118.173306"
313,S,19980629,180587.8684,"34.010409,-118.309281"
314,S,19980629,130718.6496,"34.20148,-118.41131"
315,S,6/29/1998,172049.2008,"33.933609,-118.212932"
316,S,6/29/1998,115055.6352,"33.93278,-118.18324"
317,S,6/29/1998,113670.1929,"33.94471,-118.213375"
318,S,29-Jun-98,187049.762,"34.013389,-118.12528"
319,S,6/29/1998,144240.3664,"34.208822,-118.397452"
320,S,6/29/1998,217405.8844,"33.860599,-118.184664"
321,S,6/29/1998,185336.869,"33.90465,-118.08328"
322,S,19980629,162708.6417,"34.266105,-118.421299"
323,S,6/29/1998,147262.6994,"34.579366,-118.108139"
324,S,19980629,121602.6539,"34.580733,-118.074332"
325,S,29-Jun-98,145209.6686,"33.88973,-118.141312"
326,S,29-Jun-98,192020.6678,"34.155298,-118.131978"
327,S,6/29/1998,157431.0681,"34.063002,-117.741044"
328,S,19980629,275110.8999,"34.200727,-118.543262"
329,S,6/29/1998,104077.3397,"34.080912,-118.057705"
330,S,19980629,58669.54488,"34.10607,-117.83795"
331,S,6/29/1998,140368.4743,"33.981083,-118.049181"
332,S,19980629,119129.0122,"34.235404,-118.483029"
333,S,6/29/1998,119327.6575,"34.164381,-118.448177"
334,S,19980629,176509.8999,"34.045922,-118.031226"
335,S,6/29/1998,112655.7605,"33.964024,-118.225711"
336,S,6/29/1998,118860.1039,"33.953078,-118.198813"
337,S,29-Jun-98,173635.4635,"34.215889,-118.37068"
338,S,29-Jun-98,170060.331,"34.310021,-118.426757"
339,S,19980629,108055.1397,"33.831897,-118.30289"
340,S,29-Jun-98,119748.933,"34.251836,-118.294494"
341,S,6/29/1998,155717.3898,"34.186424,-118.439671"
342,S,29-Jun-98,168917.335,"34.200352,-118.492934"
343,S,29-Jun-98,228119.1986,"34.22278,-118.467269"
344,S,6/29/1998,151059.9182,"33.917857,-118.011461"
345,S,19980629,173661.8649,"33.790618,-118.267323"
346,S,29-Jun-98,130874.8834,"37.360099,-120.597535"
347,S,29-Jun-98,144584.4312,"37.056523,-120.848174"
348,S,29-Jun-98,162854.605,"37.304275,-120.492959"
